polarity,precision,recall,f1-score,support
negative,0.9419501133786848,0.907383136740935,0.9243435692033823,2289.0
neutral,0.6757575757575758,0.5296912114014252,0.5938748335552596,421.0
positive,0.9347826086956522,0.9725363489499192,0.953285827395091,4333.0
